date,trades_today,pnl_today,balance,total_trades,win_rate
2026-06-14,0,0.00,100.00,0,0.000
2026-06-15,2,-0.22,99.78,2,0.500
2026-06-16,0,0.00,99.78,2,0.500
2026-06-17,0,0.00,99.78,2,0.500
2026-06-18,0,0.00,99.78,2,0.500
2026-06-19,0,0.00,99.78,2,0.500
2026-06-20,0,0.00,99.78,2,0.500
2026-06-21,0,0.00,15000.00,0,0.000
2026-06-22,0,0.00,15000.00,0,0.000
2026-06-23,0,0.00,15000.00,0,0.000
2026-06-24,0,0.00,15000.00,0,0.000
2026-06-25,2,923.58,15923.58,2,1.000
2026-06-26,0,0.00,15923.58,2,1.000
2026-06-27,0,0.00,15923.58,2,1.000
2026-06-28,0,0.00,15923.58,2,1.000
2026-06-29,2,-54.76,15868.82,4,0.500
2026-06-30,0,0.00,15868.82,4,0.500
2026-07-01,1,506.72,16375.54,5,0.600
2026-07-02,1,-523.55,70851.99,6,0.500
2026-07-03,0,0.00,70851.99,6,0.500
